Date,Exports
1/1/03,939600000
2/1/03,805566000
3/1/03,880631000
4/1/03,923553000
5/1/03,1012524000
6/1/03,1027383000
7/1/03,992465000
8/1/03,932623000
9/1/03,985373000
10/1/03,1010992000
11/1/03,785907000
12/1/03,1170783000
1/1/04,1037552000
2/1/04,873320000
3/1/04,1065855000
4/1/04,1049122000
5/1/04,969132000
6/1/04,1142159000
7/1/04,1149387000
8/1/04,1079037000
9/1/04,1099382000
10/1/04,1169387000
11/1/04,1049566000
12/1/04,1304037000
1/1/05,1079899000
2/1/05,1106131000
3/1/05,1328456000
4/1/05,1230181000
5/1/05,1123664000
6/1/05,1274228000
7/1/05,1128837000
8/1/05,1244031000
9/1/05,1266509000
10/1/05,1241964000
11/1/05,1158196000
12/1/05,1325393000
1/1/06,1242212000
2/1/06,1276006000
3/1/06,1524401000
4/1/06,1405162000
5/1/06,1465952000
6/1/06,1511800000
7/1/06,1523651000
8/1/06,1618045000
9/1/06,1619129000
10/1/06,1689608000
11/1/06,1954276000
12/1/06,1797794000
1/1/07,1758250000
2/1/07,1692132000
3/1/07,1775512000
4/1/07,1736963000
5/1/07,1818515000
6/1/07,2378779000
7/1/07,1652144000
8/1/07,1709364000
9/1/07,1649838000
10/1/07,1859354000
11/1/07,1761170000
12/1/07,1832401000
1/1/08,1856385000
2/1/08,2103347000
3/1/08,2125786000
4/1/08,2148667000
5/1/08,2201137000
6/1/08,2649788000
7/1/08,2139771000
8/1/08,1939580000
9/1/08,2593921000
10/1/08,1669014000
11/1/08,1799302000
12/1/08,1767127000
1/1/09,1607232000
2/1/09,1756007000
3/1/09,1704082000
4/1/09,1776675000
5/1/09,2218981000
6/1/09,2118681000
7/1/09,1781573000
8/1/09,1760162000
9/1/09,1868411000
10/1/09,2013821000
11/1/09,1716165000
12/1/09,1998593000
1/1/10,1871266000
2/1/10,2148956000
3/1/10,2225859000
4/1/10,2431517000
5/1/10,2789571000
6/1/10,2167797000
7/1/10,1926913000
8/1/10,2115804000
9/1/10,2149344000
10/1/10,2225442000
11/1/10,2478675000
12/1/10,3293569000
1/1/11,2374749000
2/1/11,2640601000
3/1/11,2887451000
4/1/11,3046899000
5/1/11,2610444000
6/1/11,3081011000
7/1/11,2486630000
8/1/11,2526098000
9/1/11,2314524000
10/1/11,2453133000
11/1/11,2302476000
12/1/11,2617004000
1/1/12,2290566000
2/1/12,2503114000
3/1/12,2578706000
4/1/12,2484428000
5/1/12,2512837000
6/1/12,2452322000
7/1/12,2341789000
8/1/12,3526748000
9/1/12,2245412000
10/1/12,2660051000
11/1/12,2339693000
12/1/12,3026566000
1/1/13,2524039000
2/1/13,2251325000
3/1/13,2631582000
4/1/13,2592884000
5/1/13,2746223000
6/1/13,2478933000
7/1/13,2591930000
8/1/13,2346472000
9/1/13,2381299000
10/1/13,2762595000
11/1/13,2174853000
12/1/13,2777294000
1/1/14,2492413000
2/1/14,2717435000
3/1/14,2501681000
4/1/14,2597236000
5/1/14,2859251000
6/1/14,2438647000
7/1/14,2234414000
8/1/14,2544163000
9/1/14,2848108000
10/1/14,2463014000
11/1/14,2188114000
12/1/14,2733550000
1/1/15,2376022000
2/1/15,2892148000
3/1/15,2468987000
4/1/15,2449013000
5/1/15,2190747000
6/1/15,2485943000
7/1/15,2440794000
8/1/15,2049646000
9/1/15,2529571000
10/1/15,2186713000
11/1/15,2028818000
12/1/15,2348001000
1/1/16,2013483000
2/1/16,2208953000
3/1/16,2414969000
4/1/16,2348054000
5/1/16,2444850000
6/1/16,2337956000
7/1/16,1833097000
8/1/16,2108840000
9/1/16,2101066000
10/1/16,2288378000
11/1/16,2241808000
12/1/16,2335181000
1/1/17,2160743000
2/1/17,2415296000
3/1/17,2742964000
4/1/17,2172023000
5/1/17,2345556000
6/1/17,2308290000
7/1/17,2234825000
8/1/17,2513444000
9/1/17,2202533000
10/1/17,2380170000
11/1/17,2547876000
12/1/17,2464001000
1/1/18,2522172000
2/1/18,2469018000
3/1/18,2727840000
4/1/18,2737170000
5/1/18,2695083000
6/1/18,2457012000
7/1/18,2414172000
8/1/18,2539027000
9/1/18,2209998000
10/1/18,2533000000
11/1/18,2311000000
12/1/18,2466097000
1/1/19,2780514000
2/1/19,2279003000
3/1/19,2510543000
4/1/19,2525048000
5/1/19,2752076000
6/1/19,2200232000
7/1/19,2658013000
8/1/19,2304409000
9/1/19,2316141000
10/1/19,2741105000
11/1/19,2526818000
12/1/19,2634763000
1/1/20,2547124000
2/1/20,2448521000
3/1/20,2267010000
4/1/20,1806953000
5/1/20,1661969000
6/1/20,1982017000
7/1/20,2329360000
8/1/20,1878886000
9/1/20,2414116000
10/1/20,2373079000
11/1/20,2733939000
12/1/20,2878994000
1/1/21,2615283000
2/1/21,2649094000
3/1/21,3175987000
4/1/21,2819985000
5/1/21,2624090000
6/1/21,3076008000
7/1/21,2740206000
8/1/21,2881302000
9/1/21,3192899000
10/1/21,2980045000
11/1/21,3298918000
12/1/21,3598066000
1/1/22,3008104000
2/1/22,3432062000
3/1/22,3740265000
4/1/22,3781053000
5/1/22,3020109000
6/1/22,3793998000
7/1/22,2743628000
8/1/22,3320302000
9/1/22,3001987000
10/1/22,2902053000
11/1/22,2998996000
12/1/22,3089037000
1/1/23,2910062000
2/1/23,2789960000
3/1/23,3087694000
4/1/23,2598134000
5/1/23,3210976000
6/1/23,2698106000
7/1/23,2654032000
8/1/23,3021809000
9/1/23,3045155000
10/1/23,3418028000
11/1/23,3363894000
12/1/23,3525967000
1/1/24,3371010000
2/1/24,3183063000
3/1/24,3229786000
4/1/24,3279992000
5/1/24,3696931000
6/1/24,3073062000
7/1/24,3012485000
8/1/24,3107729000
9/1/24,2644962000
10/1/24,3326377000
11/1/24,3363894000
12/1/24,3400000000
