country,Exports
U.S.A.,7980566000
China,2988501000
UK.,2635008000
Dubai,2415591000
Germany,1705755000
Spain,1467625000
Netherlands,1440420000
Italy,1184412000
Saudi Arabia,1128275000
Bangladesh,668261000
Malaysia,615061000
Belgium,582305000
Afghanistan,560860000
Indonesia,540573000
France,618057000
Poland,433314000
Sri Lanka,397877000
Canada,529385000
Vietnam,358840000
Turkiye,387010000
Kenya,317466000
Australia,328895000
Philippines,269459000
Singapore,701590000
Denmark,252818000
Oman,227538000
Portugal,203825000
Switzerland,321464000
South Africa,195056000
South Korea,221730000
Japan,229829000
Kazakhstan,183984000
Senegal,168142000
Qatar,232852000
Hong Kong,411154000
Madagascar,157865000
Abu Dhabi,221366000
Thailand,197456000
Fujairah,144594000
Sweden,219401000
Tanzania,141714000
Brazil,140167000
Mexico,135177000
Kuwait,145562000
Greece,134918000
Egypt,121638000
Yemen Arab Republic,117157000
Ireland,324780000
Cameroon,96838000
Djibouti,83082000
Macao,81835000
Russian Federation,83997000
Uzbekistan,78344000
Ivory Coast,71785000
Somalia,70604000
Bahrain,229882000
Nigeria,72618000
Mozambique,68581000
Romania,67327000
Chile,63433000
Czech Republic,62242000
Ghana,60942000
Norway,112824000
Togo,55895000
Haiti,55342000
Iraq,59453000
~150 other countries,1893331000
