Type,Title,value
Goods,Animals /Animals Products,1083516
Goods,Vegetable Products,5461889
Goods,"Animal/Vegetable Fats, Oils etc.",43923
Goods,"Prepared Food: Beverages,Tobacco etc",1227515
Goods,Mineral Products,1459936
Goods,Chemical or Allied Industries,483990
Goods,Plastics/rubber and thier articles,546246
Goods,"Hides/Skins/Leather/Fur",915336
Goods,Wood/Wooden Articles,47874
Goods,Wood Pulp/similar Fibrous,58686
Goods,Textiles and Textile Articles,16366337
Goods,"Footwear/Headgear/Walking Sticks etc.",173874
Goods,"Stone/Plaster/Cement/Mica articles",67378
Goods,"Pearls/Precious/Semi Precious Stones",21579
Goods,Base Metals and Articles,1148377
Goods,Machinery/Mechanical Appliances,188472
Goods,"Vehicles/Aircraft/Vessels/parts/Equipment",88786
Goods,"Optical/Photographic/Precision Apparatus",475940
Goods,"Arms and Ammunition/ Parts/Accessories",100854
Goods,Miscellaneous Manufactured,655081
Goods,"Art/Collectors, etc",52028
Services,Misc Maintenance/repair,5411
Services,Transport,860882
Services,Travel,759159
Services,Construction,68837
Services,Insurance/pension,76388
Services,Financial services,52993
Services,Intellectual property charges.,11720
Services,"Telecom/computer/info services",3223067
Services,Other business services,1549648
Services,"Personal/cultural/recreational",22857
Services,Government goods/services,1175062
